company,sector,city,website,website_status,email,phone,estimated_ticket,priority,status,last_contact_date,notes
Mediheal Group of Hospitals,Clinic,Nairobi,https://medihealgroup.com,okay,info@medihealgroup.com,+254722218416,high,2,Contacted,2026-02-25,
Mater Misericordiae Hospital,Clinic,Nairobi,https://www.materkenya.com,okay,inform@materkenya.com,+254206903000,high,2,Contacted,2026-02-25,
Brookhouse School,School,Nairobi,https://www.brookhouse.ac.ke,okay,admissions@brookhouse.ac.ke,+254733400100,high,1,Contacted,2026-02-23,Initial outreach sent
International School of Kenya,School,Nairobi,https://www.isk.ac.ke,okay,admissions@isk.ac.ke,+254733639000,high,1,Contacted,2026-02-23,Initial outreach sent
Peponi School,School,Nairobi,https://www.peponischool.com,okay,info@peponischool.com,+254724256173,high,2,Contacted,2026-02-25,
Crawford International School,School,Nairobi,https://www.crawfordinternationalschool.com,okay,info@crawfordinternationalschool.com,+254799500000,high,2,Contacted,2026-02-25,
Light International School,School,Nairobi,https://www.lightacademy.ac.ke,okay,info@lightacademy.ac.ke,+254722207000,mid,2,Contacted,2026-02-25,
Ortam Law Advocates LLP,Law Firm,Nairobi,https://ortamlaw.co.ke,okay,info@ortamlaw.co.ke,+254722555000,high,2,Contacted,2026-02-25,
Muthoga Gachuba & Company Advocates,Law Firm,Nairobi,https://www.muthogagachuba.co.ke,okay,info@muthogagachuba.co.ke,+254722516000,high,2,Contacted,2026-02-25,
Mboya Wangong'u & Waiyaki Advocates,Law Firm,Nairobi,https://www.mwwadvocates.co.ke,okay,info@mwwadvocates.co.ke,+254202460000,high,2,Contacted,2026-02-25,
Mitchell Cotts Group,Logistics,Nairobi,https://www.mitchellcottsgroup.com,okay,kenya@mitchellcotts.com,+254206300000,high,1,Contacted,2026-02-25,
Perseus Forwarders,Logistics,Mombasa,https://perseusforwarders.com,okay,info@perseusforwarders.com,+254722800000,high,2,Contacted,2026-02-25,
Sheffield Cargo,Logistics,Nairobi,https://sheffield.co.ke,okay,info@sheffield.co.ke,+254733600000,high,2,Contacted,2026-02-25,
Tradewinds Logistics Ltd,Logistics,Nairobi,https://www.tradewinds.co.ke,okay,info@tradewinds.co.ke,+254206500000,high,2,Contacted,2026-02-25,
Hemingways Nairobi,Hotel,Nairobi,https://www.hemingways-nairobi.com,okay,reservations@hemingways.co.ke,+254730600000,high,1,Contacted,2026-02-23,Initial outreach sent
Construction Company Referral (Kat lead),Construction,, ,new-referral,,,high,1,Meeting Scheduled,2026-03-11,"Warm lead via Kat. Meeting planned for 2026-03-12. Secure website + mobile-friendly backend/ops interest. React/Tailwind mock ready: https://site-nine-gamma-14.vercel.app"
